Respondents,Response Date,Responses,Bucket
225,Aug 28 2018 12:29 AM,4884,Over $200
260,Aug 28 2018 12:26 AM,1500,Over $200
278,Aug 28 2018 12:24 AM,1000,Over $200
317,Aug 28 2018 12:21 AM,1000,Over $200
324,Aug 28 2018 12:20 AM,500,Over $200
354,Aug 28 2018 12:18 AM,500,Over $200
350,Aug 28 2018 12:18 AM,360,Over $200
240,Aug 28 2018 12:27 AM,345,Over $200
349,Aug 28 2018 12:18 AM,300,Over $200
409,Aug 28 2018 12:14 AM,293,Over $200
280,Aug 28 2018 12:24 AM,250,Over $200
308,Aug 28 2018 12:22 AM,250,Over $200
426,Aug 28 2018 12:12 AM,250,Over $200
222,Aug 28 2018 12:30 AM,200,Over $200
318,Aug 28 2018 12:21 AM,200,Over $200
334,Aug 28 2018 12:19 AM,200,Over $200
447,Aug 28 2018 12:10 AM,200,Over $200
307,Aug 28 2018 12:22 AM,150,$100 to $199
335,Aug 28 2018 12:19 AM,150,$100 to $199
282,Aug 28 2018 12:24 AM,140,$100 to $199
306,Aug 28 2018 12:22 AM,139,$100 to $199
462,Aug 28 2018 12:09 AM,131,$100 to $199
39,Aug 28 2018 06:23 AM,125,$100 to $199
367,Aug 28 2018 12:17 AM,125,$100 to $199
168,Aug 28 2018 01:12 AM,120,$100 to $199
175,Aug 28 2018 01:08 AM,120,$100 to $199
236,Aug 28 2018 12:27 AM,120,$100 to $199
412,Aug 28 2018 12:13 AM,120,$100 to $199
173,Aug 28 2018 01:10 AM,100,$100 to $199
249,Aug 28 2018 12:26 AM,100,$100 to $199
255,Aug 28 2018 12:26 AM,100,$100 to $199
283,Aug 28 2018 12:24 AM,100,$100 to $199
291,Aug 28 2018 12:23 AM,100,$100 to $199
297,Aug 28 2018 12:23 AM,100,$100 to $199
326,Aug 28 2018 12:20 AM,100,$100 to $199
351,Aug 28 2018 12:18 AM,100,$100 to $199
381,Aug 28 2018 12:16 AM,100,$100 to $199
406,Aug 28 2018 12:14 AM,100,$100 to $199
