"","DMA","Dota.2","League.of.Legends","Fortnite","Overwatch","Call.of.Duty","CSGo","HotS","Starcraft","Halo.5","Trump.2016.Vote."
"1","Providence RI-New Bedford MA",1,3,75,13,8,NA,20,50,30,40.21
"2","Lincoln & Hastings-Kearney NE",1,3,76,11,9,NA,14,59,27,63.22
"3","Grand Rapids-Kalamazoo-Battle Creek MI",1,4,75,12,8,NA,16,57,27,52.87
"4","Yakima-Pasco-Richland-Kennewick WA",1,4,73,13,9,NA,23,45,32,55.26
"5","Johnstown-Altoona PA",1,3,74,12,10,NA,14,56,30,66.3
"6","Toledo OH",1,3,75,11,10,NA,14,52,34,51.1
"7","Cedar Rapids-Waterloo-Iowa City & Dubuque IA",1,4,74,13,8,NA,23,49,28,45.3
"8","Des Moines-Ames IA",1,4,74,12,9,NA,22,49,29,49.64
"9","La Crosse-Eau Claire WI",1,3,76,11,9,NA,19,53,28,49.37
"10","Sacramento-Stockton-Modesto CA",1,5,72,15,7,1,21,53,25,40.26
"11","Rockford IL",1,3,74,12,10,NA,21,52,27,50.22
"12","Lexington KY",1,3,74,12,10,NA,16,48,36,63.82
"13","Binghamton NY",1,6,72,12,9,NA,15,62,23,53.49
"14","South Bend-Elkhart IN",1,3,74,12,10,NA,11,70,19,58.42
"15","Evansville IN",1,2,75,12,10,NA,13,59,28,65.84
"16","Monterey-Salinas CA",1,5,71,16,7,NA,22,43,35,22.95
"17","Hartford & New Haven CT",1,3,76,13,7,1,20,55,25,41.93
"18","Fargo-Valley City ND",1,4,74,12,9,NA,15,56,29,56.78
"19","Indianapolis IN",1,3,74,12,10,NA,21,44,35,54.95
"20","Ft. Smith-Fayetteville-Springdale-Rogers AR",1,4,73,13,9,NA,19,45,36,63.21
"21","Erie PA",1,3,75,12,9,NA,11,53,36,53.78
"22","Milwaukee WI",1,3,75,12,9,NA,17,57,26,46.14
"23","Dayton OH",1,3,73,13,10,NA,24,52,24,58.66
"24","Peoria-Bloomington IL",1,4,74,12,9,NA,23,58,19,52.81
"25","Salt Lake City UT",1,5,71,15,8,1,17,58,25,46.81
"26","Topeka KS",1,5,71,12,11,NA,15,48,37,57.33
"27","Rochester MN-Mason City IA-Austin MN",1,3,76,12,8,NA,30,46,24,50.78
"28","Buffalo NY",1,3,75,12,9,NA,14,63,23,51.79
"29","Harrisburg-Lancaster-Lebanon-York PA",1,3,75,12,9,NA,19,49,32,59.18
"30","Lansing MI",1,5,71,14,9,NA,15,57,28,46.28
"31","Philadelphia PA",1,3,75,13,8,1,19,52,29,36.61
"32","Kansas City MO",1,3,74,13,9,1,21,47,31,49.73
"33","Chico-Redding CA",1,5,71,15,8,NA,17,52,31,56.06
"34","Corpus Christi TX",1,3,73,14,9,NA,17,45,38,51.18
"35","Duluth MN-Superior WI",1,3,74,13,9,NA,13,61,26,44.08
"36","Harrisonburg VA",1,4,74,11,10,NA,19,53,28,61.24
"37","Huntsville-Decatur (Florence) AL",1,3,74,13,9,NA,18,49,33,67.73
"38","Wausau-Rhinelander WI",1,4,76,11,8,NA,20,60,20,55.86
"39","Springfield-Holyoke MA",1,5,70,16,8,NA,19,53,28,34.52
"40","Minneapolis-St. Paul MN",1,5,74,13,7,1,18,58,24,44.33
"41","Traverse City-Cadillac MI",1,3,74,12,10,NA,12,70,18,59.97
"42","Chicago IL",1,4,75,12,8,1,21,51,28,31.09
"43","Los Angeles CA",1,6,69,17,7,1,23,51,26,31.7
"44","Minot-Bismarck-Dickinson(Williston) ND",1,3,76,11,9,NA,14,56,30,71.05
"45","Tri-Cities TN-VA",1,3,71,14,11,NA,12,50,38,76.54
"46","Pittsburgh PA",1,3,73,13,10,1,24,45,30,52.24
"47","Raleigh-Durham (Fayetteville) NC",1,3,75,13,8,1,18,50,32,40.6
