"","DMA","Far.Cry.5","Monster.Hunter.World","Call.of.Duty.WW2","Dragon.Ball.Fighterz","God.of.War","Trump.2016.Vote."
"1","FairbanksAK",52,73,28,8,54,NA
"2","HelenaMT",100,41,15,NA,60,51.48
"3","CheyenneWYScottsbluffNE",50,86,30,NA,50,64.88
"4","MissoulaMT",86,56,23,2,47,54.19
"5","AnchorageAK",50,78,26,6,56,NA
"6","ButteBozemanMT",91,52,30,NA,43,48.18
"7","GreatFallsMT",67,63,30,NA,56,59.38
"8","GrandJunctionMontroseCO",41,84,34,NA,56,64.91
"9","BillingsMT",82,47,28,2,56,63.77
"10","WichitaFallsTXLawtonOK",45,60,26,13,71,73.72
"11","VictoriaTX",39,82,32,NA,63,68.36
"12","MankatoMN",45,76,39,NA,56,54.38
"13","SpokaneWA",52,71,30,4,58,56.02
"14","WatertownNY",56,58,36,6,58,55.93
"15","ZanesvilleOH",43,76,45,NA,52,64.59
"16","LubbockTX",41,56,34,6,78,69.69
"17","HonoluluHI",32,86,23,10,63,30.04
"18","EugeneOR",54,71,26,8,56,40.87
"19","ColoradoSpringsPuebloCO",50,63,32,8,63,55.71
"20","ElPasoTX",32,54,34,17,78,28.53
"21","CasperRivertonWY",52,78,26,NA,60,71.09
"22","EurekaCA",60,63,30,NA,63,34.44
"23","AlexandriaLA",54,56,28,8,69,69.64
"24","WacoTempleBryanTX",43,63,30,13,67,61.59
"25","LimaOH",41,67,45,NA,63,72.08
"26","RenoNV",43,65,28,10,69,51.55
"27","CharlestonHuntingtonWV",50,58,41,8,58,69.61
"28","LakeCharlesLA",43,63,30,10,69,68.47
"29","StJosephMO",65,58,32,NA,60,64.68
"30","ChicoReddingCA",47,67,26,8,67,56.06
"31","SanAngeloTX",45,65,28,13,65,74.12
"32","WheelingWVSteubenvilleOH",50,60,45,8,52,67.75
"33","TopekaKS",47,58,36,8,65,57.33
"34","TriCitiesTNVA",56,52,39,8,60,76.54
"35","NorfolkPortsmouthNewportNewsVA",39,65,30,13,69,44
"36","RapidCitySD",52,69,32,2,60,66.94
"37","BiloxiGulfportMS",36,71,28,13,67,67.78
"38","YakimaPascoRichlandKennewickWA",50,69,30,8,58,55.26
"39","BoiseID",50,67,28,6,65,55.59
"40","SeattleTacomaWA",50,71,26,8,60,32.15
"41","GreenvilleNewBernWashingtonNC",47,58,34,10,65,55.91
"42","MinotBismarckDickinsonWillistonND",54,63,34,6,58,71.05
"43","MedfordKlamathFallsOR",52,69,23,4,67,55.46
"44","BowlingGreenKY",52,58,30,6,69,66.41
"45","ColumbusGA",43,56,36,13,67,50.82
"46","TucsonSierraVistaAZ",39,63,34,10,69,40.89
"47","AbileneSweetwaterTX",36,67,34,8,69,79.13
"48","FtSmithFayettevilleSpringdaleRogersAR",47,60,32,8,67,63.21
"49","LexingtonKY",47,60,34,8,65,63.82
"50","GainesvilleFL",43,67,23,10,71,44.27
"51","PaducahKYCapeGirardeauMOHarrisburgMountVernonIL",50,63,30,6,67,71.45
"52","BluefieldBeckleyOakHillWV",50,54,43,6,63,74.16
"53","EriePA",47,54,39,6,69,53.78
"54","IdahoFallsPocatelloID",47,63,30,8,67,58.14
"55","CorpusChristiTX",34,67,36,15,63,51.18
"56","RockfordIL",45,56,39,8,67,50.22
"57","OttumwaIAKirksvilleMO",43,67,47,NA,58,63.52
"58","FargoValleyCityND",52,65,30,6,63,56.78
"59","WilkesBarreScrantonPA",47,56,41,8,63,60.11
"60","TerreHauteIN",52,65,36,6,56,68.85
"61","ClarksburgWestonWV",58,58,41,6,52,69.75
"62","DaytonOH",45,56,39,10,65,58.66
"63","BeaumontPortArthurTX",39,60,30,10,76,64.65
"64","EvansvilleIN",50,63,36,10,56,65.84
"65","ShermanTXAdaOK",47,63,32,8,65,75.05
"66","MarquetteMI",63,67,41,4,41,55.34
"67","AmarilloTX",45,54,39,10,67,77.54
"68","YumaAZElCentroCA",30,65,34,21,65,37.48
"69","HarrisonburgVA",54,54,39,6,63,61.24
"70","FresnoVisaliaCA",30,69,36,15,65,46.28
"71","DavenportIARockIslandMolineIL",45,56,43,8,63,49.45
"72","OklahomaCityOK",45,65,32,8,65,62.83
"73","MonroeLAElDoradoAR",41,58,39,10,67,63.82
"74","JoplinMOPittsburgKS",54,56,34,8,63,72.57
"75","ElmiraNY",63,65,32,NA,56,62.86
"76","LaCrosseEauClaireWI",56,67,34,4,54,49.37
"77","LasVegasNV",34,63,30,15,73,42.47
"78","SaltLakeCityUT",47,65,30,6,67,46.81
"79","JonesboroAR",45,65,34,8,63,68.79
"80","CedarRapidsWaterlooIowaCityDubuqueIA",52,60,39,4,60,45.3
"81","GrandRapidsKalamazooBattleCreekMI",45,63,36,8,63,52.87
"82","BakersfieldCA",36,60,36,17,65,53.54
"83","FlintSaginawBayCityMI",45,60,39,8,63,51
"84","ToledoOH",43,60,43,8,60,51.1
"85","SpringfieldMO",52,63,32,6,63,72.57
"86","SanAntonioTX",34,65,34,15,67,49.36
"87","LaredoTX",28,50,43,21,73,23.28
"88","AugustaGA",41,67,30,13,65,52.77
"89","SacramentoStocktonModestoCA",36,67,32,13,67,40.26
"90","ChattanoogaTN",45,63,34,8,65,68.63
"91","DothanAL",45,65,36,10,58,73.61
"92","DesMoinesAmesIA",47,65,39,6,58,49.64
"93","SanDiegoCA",36,67,28,13,71,37.02
"94","LansingMI",52,60,36,6,60,46.28
"95","PhoenixAZ",39,63,32,10,71,50.09
"96","WichitaHutchinsonKS",50,63,34,6,63,65.22
"97","ColumbusOH",45,58,41,8,63,47.9
"98","LouisvilleKY",50,58,36,8,63,54.68
"99","ChampaignSpringfieldDecaturIL",45,60,36,8,65,55.92
"100","JacksonvilleFL",41,65,30,13,67,58.92
"101","AlbuquerqueSantaFeNM",41,60,30,8,76,39.58
"102","QuincyILHannibalMOKeokukIA",54,60,41,6,54,68.03
"103","KnoxvilleTN",52,58,34,8,63,70.6
"104","TwinFallsID",50,65,36,NA,65,62.85
"105","MobileALPensacolaFtWaltonBeachFL",45,65,30,10,65,64.14
"106","PresqueIsleME",71,78,67,NA,NA,55.54
"107","RoanokeLynchburgVA",50,58,36,8,63,60.3
"108","LafayetteIN",45,69,41,6,54,51.7
"109","GreenBayAppletonWI",52,65,41,4,54,55.8
"110","SavannahGA",43,60,28,13,71,54.52
"111","LosAngelesCA",32,58,34,17,73,31.7
"112","BatonRougeLA",39,60,30,15,71,54.96
"113","BuffaloNY",43,54,41,8,69,51.79
"114","OdessaMidlandTX",47,50,36,13,69,70.44
"115","JohnstownAltoonaPA",50,54,43,6,63,66.3
