Region,Thor,Iron Man,Hulk,Captain America
Alabama,59,44,59,57
Alaska,80,56,55,61
Arizona,74,53,58,66
Arkansas,65,45,58,59
California,65,55,52,63
Colorado,68,51,48,55
Connecticut,58,47,52,55
Delaware,62,48,56,60
District of Columbia,45,42,49,52
Florida,62,48,69,58
Georgia,57,46,61,55
Hawaii,68,63,51,62
Idaho,84,56,50,67
Illinois,62,50,57,59
Indiana,77,50,61,65
Iowa,70,49,55,58
Kansas,64,49,54,59
Kentucky,65,51,65,58
Louisiana,58,45,59,53
Maine,61,46,51,47
Maryland,62,48,53,60
Massachusetts,53,45,50,53
Michigan,63,49,61,62
Minnesota,65,46,45,52
Mississippi,59,46,64,52
Missouri,65,50,58,63
Montana,70,48,45,51
Nebraska,67,51,54,60
Nevada,72,53,58,65
New Hampshire,61,44,50,50
New Jersey,60,51,61,63
New Mexico,71,49,60,67
New York,58,47,63,60
North Carolina,60,47,55,54
North Dakota,76,49,53,58
Ohio,64,49,58,61
Oklahoma,73,52,61,64
Oregon,63,43,44,42
Pennsylvania,60,47,60,61
Rhode Island,58,46,57,57
South Carolina,54,44,58,55
South Dakota,66,47,49,56
Tennessee,64,47,59,60
Texas,66,53,59,66
Utah,100,64,50,79
Vermont,57,44,47,46
Virginia,58,46,53,53
Washington,73,50,49,56
West Virginia,62,48,62,59
Wisconsin,62,50,51,52
Wyoming,74,50,50,57
